Title,DaysRemaining,ParticipantCount,Description,Date,Location,AdditionalInfo,ParticipationSteps,가수,지역,위도,경도
임영웅 월평역 생일카페 인증,-1일 남음,94명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 월평동 282-21,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
임영웅 팬사인회,-1일 남음,58명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 장대동 140-2,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
임영웅 생일파티,-1일 남음,139명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 구암동 123-45,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
임영웅 기념 콘서트,-1일 남음,77명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 상대동 98-7,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
임영웅 팬미팅,-1일 남음,57명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 궁동 55-16,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
임영웅 노래자랑,-1일 남음,128명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 도룡동 789-10,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
임영웅 사진전,-1일 남음,91명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 덕명동 456-3,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
임영웅 팬카페 모임,-1일 남음,124명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 노은동 222-8,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
임영웅 기념 만찬,-1일 남음,97명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 전민동 333-5,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
임영웅 봉사활동,-1일 남음,145명이 참여중이에요.,"임영웅의 30번째 생일을 기념해 마련한 생일카페! 임영웅의 다양한 사진과 활동을 기념하는 장식들을 보며 함께 축하하고, 기쁨을 나누는 시간을 보내요!",2024년 7월 30일,대전광역시 유성구 송강동 111-9,"주차 가능(유료), 반려동물 동반 불가","STEP 1. 참여하기 버튼 누르기! 
STEP 2. 행사장에 방문해 인증하기 
STEP 3. 원하는 곳에서 사진 찍기",임영웅,대전,36.3622,127.3569
